ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,100,1,0.002,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.004,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.006,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.008,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.01,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.02,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.04,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.06,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.08,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,1,0.1,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,100,2,0.002,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
