G,sigma2,num_samples,rho_star,median_emp_minus_oracle,mean_emp_minus_oracle,std_emp_minus_oracle
1-modal,0.005,50,0.5,-0.0038893040693694044,-0.003870664285867644,0.0007207791160136219
1-modal,0.005,100,0.445,-0.00367257166883704,-0.00375696768277769,0.0008313381191293952
1-modal,0.005,250,0.5,-0.0032692971688404633,-0.0034975974883793086,0.0012559087195936737
1-modal,0.005,500,0.33499999999999996,-0.003507787070572239,-0.003364459395138885,0.0009835014761073364
2-modal,0.005,50,0.33499999999999996,-0.0036439257615606254,-0.003521744045751868,0.0006833434043974724
2-modal,0.005,100,0.39,-0.003938900560603805,-0.003677479433051855,0.0010597865347040539
2-modal,0.005,250,0.28,-0.003822350741296422,-0.003619088709663664,0.0011658799214950472
2-modal,0.005,500,0.22499999999999998,-0.0034980247515910747,-0.00352669763937642,0.0009727520827029363
3-modal,0.005,50,0.39,-0.002948169915907854,-0.0031738091532794743,0.0009620195049837168
3-modal,0.005,100,0.28,-0.0036839405570413966,-0.0034770253190528136,0.0007738186640309551
3-modal,0.005,250,0.16999999999999998,-0.0034786230324817657,-0.0035003617923403257,0.0008449850596109143
3-modal,0.005,500,0.33499999999999996,-0.003573954710163375,-0.0034073085793067657,0.0009224303806949269
4-modal,0.005,50,0.16999999999999998,-0.002335068354654619,-0.0020882312628745727,0.0007970031720154148
4-modal,0.005,100,0.11499999999999999,-0.0022799529587076333,-0.002497485153056347,0.0008587762027977606
4-modal,0.005,250,0.33499999999999996,-0.0011213964947602755,-0.0011617418585369301,0.0010300180284807663
4-modal,0.005,500,0.39,-0.0013562322502357308,-0.0016801031826483824,0.001008792223404428
1-modal,0.054,50,0.5,0.007886043868712419,0.007417600924762778,0.004325617496045996
1-modal,0.054,100,0.39,0.004386666597743227,0.004435424222674846,0.003421423215961478
1-modal,0.054,250,0.39,0.001625924867903165,0.002557765166478143,0.0023664433288709554
1-modal,0.054,500,0.16999999999999998,0.0027842437719561956,0.0028740519687407125,0.0020599881467387162
2-modal,0.054,50,0.5,0.007840040373126281,0.009314966931317009,0.005430967588632154
2-modal,0.054,100,0.28,0.005217864507552199,0.005320126893155514,0.004701571314827945
2-modal,0.054,250,0.22499999999999998,0.0014390489339596406,0.0026830416288926877,0.0033725238914306486
2-modal,0.054,500,0.06,0.001577605638750255,0.002531272954159486,0.003381098894521986
3-modal,0.054,50,0.5,0.010717051928628062,0.010213191479776547,0.00432027587453301
3-modal,0.054,100,0.28,0.006681041869518265,0.008559150682685538,0.006532339425487509
3-modal,0.054,250,0.22499999999999998,0.0037715230857401395,0.0038268708371300393,0.0022942542830404573
3-modal,0.054,500,0.16999999999999998,0.0023373936434646792,0.002716940968806794,0.003264608982887581
4-modal,0.054,50,0.22499999999999998,0.010780709875189406,0.015822813694644326,0.010553320523668011
4-modal,0.054,100,0.22499999999999998,0.007260531251543712,0.007568016586186813,0.003993858314829023
4-modal,0.054,250,0.22499999999999998,0.0046258847890718584,0.003957736717113378,0.0022802985177447065
4-modal,0.054,500,0.16999999999999998,0.004063006945126526,0.0044705502704169685,0.0035666347381712454
1-modal,0.10300000000000001,50,0.33499999999999996,0.018707373249151435,0.02381765886460053,0.018742074856288638
1-modal,0.10300000000000001,100,0.445,0.015407597112582813,0.018784323624962695,0.008133441559077399
1-modal,0.10300000000000001,250,0.28,0.0037179334610088627,0.005125038881787229,0.004536462071032811
1-modal,0.10300000000000001,500,0.11499999999999999,0.0012041369318397492,0.0031147707718762003,0.006447910796267516
2-modal,0.10300000000000001,50,0.5,0.05076080336045531,0.052453433147925124,0.02762445792447189
2-modal,0.10300000000000001,100,0.22499999999999998,0.02498315453980362,0.027416794442871577,0.01107922864267081
2-modal,0.10300000000000001,250,0.16999999999999998,0.010454290317671242,0.01180034589583584,0.007478560316782537
