G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1-modal,0.1,100,1,0.015,25,0.08664927213424134,0.0031913791156452987,0.025886178017158513,0.0008532303793368178,0.03755569000833943,0.0022955200888471394
1-modal,0.1,100,1,0.025,25,0.08664927213424134,0.0031913791156452987,0.025886178017158513,0.0008532303793368178,0.03755569000833943,0.0022955200888471394
1-modal,0.1,100,1,0.045,25,0.08664927213424134,0.0031913791156452987,0.025886178017158513,0.0008532303793368178,0.03755569000833943,0.0022955200888471394
1-modal,0.1,100,1,0.065,25,0.08664927213424134,0.0031913791156452987,0.025886178017158513,0.0008532303793368178,0.03755569000833943,0.0022955200888471394
1-modal,0.1,100,1,0.085,25,0.08665043254847295,0.0031894145169211506,0.02588643069079737,0.0008527365558472113,0.03755685042257103,0.0022936292139848803
1-modal,0.1,100,1,0.1,25,0.08665358786250614,0.003184117714309772,0.025887223632264044,0.0008511966653462814,0.03756000573660423,0.002288551188909466
1-modal,0.1,100,1,0.125,25,0.08665997269233089,0.003176796724486941,0.02589011813144788,0.0008473066845725535,0.037566390566428964,0.002281180937531872
1-modal,0.1,100,1,0.15,25,0.08666851917171227,0.00317386650505156,0.025894044764017698,0.0008446619242467063,0.037574937045810365,0.002279171994083636
1-modal,0.1,100,1,0.175,25,0.0866831099726897,0.003173429232602543,0.0259020549913219,0.0008442128731034098,0.03758952784678779,0.002280527776449768
1-modal,0.1,100,1,0.2,25,0.08671205945226246,0.0031685483205768326,0.02592004606615113,0.0008451700116318914,0.03761847732636055,0.0022805713478399343
1-modal,0.1,100,2,0.015,25,0.07501181854896274,0.0070040768109700295,0.021394056690018873,0.007622243208080667,0.025918236423060834,0.007297924144253092
1-modal,0.1,100,2,0.025,25,0.06809741051369401,0.0030367863891707226,0.013639496865496252,0.002348245100508821,0.019003828387792104,0.0025691807402280927
1-modal,0.1,100,2,0.045,25,0.06550271076697377,0.0025172524875934385,0.010388862407345824,0.0005518918803889306,0.016409128641071857,0.0013059420356297852
1-modal,0.1,100,2,0.065,25,0.06511763243647474,0.0025330472793405052,0.009655750857813098,0.0004847396113501364,0.01602405031057283,0.001309468486055556
1-modal,0.1,100,2,0.085,25,0.06511234955191293,0.002509104286499054,0.009440841295161548,0.000528110932818992,0.016018767426011014,0.001294761645502588
1-modal,0.1,100,2,0.1,25,0.06521045765896,0.002486719515705678,0.009407761953523308,0.0005486989332085114,0.016116875533058087,0.0012904661775849364
1-modal,0.1,100,2,0.125,25,0.06546399265440299,0.0024599016773032825,0.00945907030893669,0.0005759294684563461,0.01637041052850107,0.001298460325933777
1-modal,0.1,100,2,0.15,25,0.06580050393080338,0.0024276395189771582,0.009592407903814075,0.0005967952934453832,0.016706921804901465,0.0013040630054934835
1-modal,0.1,100,2,0.175,25,0.06616764859210775,0.002412555351877919,0.009776658812359583,0.0006128132271501557,0.01707406646620583,0.0013236546572015638
1-modal,0.1,100,2,0.2,25,0.06657147267849554,0.002408088720190217,0.009997403512251025,0.0006227743150047318,0.017477890552593627,0.0013409844423442228
1-modal,0.1,100,3,0.015,25,0.11101224757100393,0.03681962941365129,0.06709025350149692,0.04006213012408269,0.061918665445101995,0.03702653953480433
1-modal,0.1,100,3,0.025,25,0.07744853826055732,0.017166379013833787,0.031318732914510795,0.02047030461389456,0.028354956134655405,0.017278476725422934
1-modal,0.1,100,3,0.045,25,0.06147385129606871,0.004980778280475976,0.013023713069140873,0.007273323363532638,0.012380269170166795,0.005068402495432354
1-modal,0.1,100,3,0.065,25,0.057505537113098845,0.0022170756846480884,0.007802391026756423,0.003554198541680987,0.008411954987196945,0.002118424007339216
1-modal,0.1,100,3,0.085,25,0.05621934674517417,0.0017162526333807714,0.005591490701457924,0.001984951433647627,0.007125764619272262,0.0013309255936294294
1-modal,0.1,100,3,0.1,25,0.05589277443366762,0.0017765044318802689,0.004724377599910168,0.0013503429317286313,0.006799192307765711,0.0012767809705289492
1-modal,0.1,100,3,0.125,25,0.05581603558261167,0.001922990654698437,0.003956688480193356,0.0008323561649998245,0.0067224534567097505,0.001388273366301665
1-modal,0.1,100,3,0.15,25,0.056050349399586114,0.0020284462713035137,0.0036277910709609745,0.0006610250242870322,0.006956767273684198,0.0014814433695240655
1-modal,0.1,100,3,0.175,25,0.05646448358943354,0.002092059480359137,0.0035619160449279373,0.0006581038500067858,0.007370901463531625,0.0015494187005573935
1-modal,0.1,100,3,0.2,25,0.056996012942462176,0.002153314345703769,0.003651954343569583,0.0007166318340466076,0.007902430816560266,0.0015935851379722938
1-modal,0.1,100,4,0.015,25,0.10173409558206417,0.05635022919506458,0.056896676599833815,0.06000669962747009,0.052640513456162254,0.0564199655849482
1-modal,0.1,100,4,0.025,25,0.07971654190238447,0.035985440886352325,0.03400645086188628,0.040025472526928806,0.030622959776482567,0.03614026466032438
1-modal,0.1,100,4,0.045,25,0.06499060079115113,0.014816076889815925,0.017187632347663257,0.017553499862950232,0.015897018665249216,0.014950631516276564
1-modal,0.1,100,4,0.065,25,0.06073077561256672,0.008696920696472281,0.0117727267649509,0.01070231250995509,0.011637193486664811,0.008828919430057246
1-modal,0.1,100,4,0.085,25,0.05896491199358067,0.0061858770878034245,0.009222289860141236,0.007657638245765947,0.009871329867678753,0.006304222729180579
1-modal,0.1,100,4,0.1,25,0.058228392152561856,0.004904136926363098,0.00796595643365426,0.006058966588544832,0.009134810026659944,0.0050172295661961575
1-modal,0.1,100,4,0.125,25,0.057701275980920175,0.0037356184286840718,0.006731645194850141,0.004458532633202256,0.008607693855018257,0.003810500910881
1-modal,0.1,100,4,0.15,25,0.05766493842205321,0.0030760422926798753,0.006087108123592497,0.0034735251719410693,0.008571356296151298,0.0030860012386283026
1-modal,0.1,100,4,0.175,25,0.057847262283449066,0.0026807713826798463,0.005746495586560876,0.002808439030795912,0.00875368015754715,0.0026191687277188876
1-modal,0.1,100,4,0.2,25,0.058171302280036176,0.0024673095697500948,0.0056110211203455555,0.00236000020479375,0.009077720154134272,0.0023359640060651964
1-modal,0.1,100,5,0.015,25,0.07900022999709437,0.038439697272644104,0.03147211339498955,0.03963749570148919,0.02990664787119245,0.03852873930815111
1-modal,0.1,100,5,0.025,25,0.07376801358027608,0.045217913395910574,0.025334839776071025,0.045064514638360725,0.02467443145437416,0.045297906707144474
1-modal,0.1,100,5,0.045,25,0.06506566386131486,0.02303710439880035,0.01606083280593514,0.024201139760631804,0.015972081735412945,0.02308583528826564
1-modal,0.1,100,5,0.065,25,0.062000069099016564,0.014774646459985165,0.012248410078788526,0.01552154262367452,0.012906486973114655,0.01482182994744835
1-modal,0.1,100,5,0.085,25,0.06060715862412537,0.01080615059199348,0.010265658565461433,0.01136030707834865,0.011513576498223458,0.010833136456592186
