G,sigma2,n,M,M (AIC),M (BIC)
uniform,0.1,100,9,1,1
uniform,0.1,500,2,1,1
uniform,0.1,1000,1,1,1
uniform,0.1,2500,9,1,1
uniform,0.1,5000,3,1,1
uniform,0.1,7500,2,1,1
uniform,0.1,10000,1,1,1
1-modal,0.1,100,4,3,2
1-modal,0.1,500,4,4,3
1-modal,0.1,1000,5,4,4
1-modal,0.1,2500,5,4,4
1-modal,0.1,5000,5,4,4
1-modal,0.1,7500,5,4,4
1-modal,0.1,10000,5,5,4
4-modal,0.1,100,6,1,1
4-modal,0.1,500,7,5,1
4-modal,0.1,1000,7,5,1
4-modal,0.1,2500,7,5,5
4-modal,0.1,5000,7,6,5
4-modal,0.1,7500,8,6,5
4-modal,0.1,10000,10,6,5
equator,0.1,100,8,1,1
equator,0.1,500,5,3,1
equator,0.1,1000,7,3,3
equator,0.1,2500,7,5,3
equator,0.1,5000,8,5,3
equator,0.1,7500,8,5,3
equator,0.1,10000,8,5,5
