G,sigma2,mc,Loss Type,Loss
uniform,0.005,0,Naïve,0.010062505594986913
uniform,0.005,1,Naïve,0.010512495295368721
uniform,0.005,2,Naïve,0.01083863892990119
uniform,0.054,0,Naïve,0.11013510724195706
uniform,0.054,1,Naïve,0.10275864247146729
uniform,0.054,2,Naïve,0.10597093767957697
uniform,0.10300000000000001,0,Naïve,0.2001679082095162
uniform,0.10300000000000001,1,Naïve,0.188897600765564
uniform,0.10300000000000001,2,Naïve,0.20092357667404218
uniform,0.15200000000000002,0,Naïve,0.3166655921885466
uniform,0.15200000000000002,1,Naïve,0.3149736688120576
uniform,0.15200000000000002,2,Naïve,0.29423429109620897
uniform,0.201,0,Naïve,0.40122767181408586
uniform,0.201,1,Naïve,0.3703811542171294
uniform,0.201,2,Naïve,0.37608889611682067
uniform,0.25,0,Naïve,0.4619311913347822
uniform,0.25,1,Naïve,0.47688491067536654
uniform,0.25,2,Naïve,0.480970212336341
1-modal,0.005,0,Naïve,0.009473217846263227
1-modal,0.005,1,Naïve,0.010419341744788809
1-modal,0.005,2,Naïve,0.009517267792568231
1-modal,0.054,0,Naïve,0.10936951462481992
1-modal,0.054,1,Naïve,0.1104183211918792
1-modal,0.054,2,Naïve,0.10805857905829275
1-modal,0.10300000000000001,0,Naïve,0.19624689779064908
1-modal,0.10300000000000001,1,Naïve,0.18729375281549357
1-modal,0.10300000000000001,2,Naïve,0.19615041884993822
1-modal,0.15200000000000002,0,Naïve,0.2960903477518509
1-modal,0.15200000000000002,1,Naïve,0.2692814256930098
1-modal,0.15200000000000002,2,Naïve,0.2639596831474607
1-modal,0.201,0,Naïve,0.35832251488921746
1-modal,0.201,1,Naïve,0.3271450207838345
1-modal,0.201,2,Naïve,0.38797671870718264
1-modal,0.25,0,Naïve,0.4119933474229767
1-modal,0.25,1,Naïve,0.43935414377650284
1-modal,0.25,2,Naïve,0.48185990246309623
4-modal,0.005,0,Naïve,0.009540928296140276
4-modal,0.005,1,Naïve,0.009967562686726208
4-modal,0.005,2,Naïve,0.010025538769631772
4-modal,0.054,0,Naïve,0.10806764765237047
4-modal,0.054,1,Naïve,0.10747912763140002
4-modal,0.054,2,Naïve,0.10457654416906631
4-modal,0.10300000000000001,0,Naïve,0.19478282732127547
4-modal,0.10300000000000001,1,Naïve,0.1933575329472779
4-modal,0.10300000000000001,2,Naïve,0.19884527413221056
4-modal,0.15200000000000002,0,Naïve,0.2942144499180825
4-modal,0.15200000000000002,1,Naïve,0.3049532882669174
4-modal,0.15200000000000002,2,Naïve,0.28519620617908886
4-modal,0.201,0,Naïve,0.3777929388963604
4-modal,0.201,1,Naïve,0.38013666116518957
4-modal,0.201,2,Naïve,0.3976981621128632
4-modal,0.25,0,Naïve,0.47611021058881847
4-modal,0.25,1,Naïve,0.4835863874908011
4-modal,0.25,2,Naïve,0.45448863037747134
equator,0.005,0,Naïve,0.010393503381805346
equator,0.005,1,Naïve,0.009707459814910443
equator,0.005,2,Naïve,0.01035034754889717
equator,0.054,0,Naïve,0.11055362346269657
equator,0.054,1,Naïve,0.10700877469254455
equator,0.054,2,Naïve,0.09883391600538434
equator,0.10300000000000001,0,Naïve,0.1858329236801669
equator,0.10300000000000001,1,Naïve,0.19763104967381792
equator,0.10300000000000001,2,Naïve,0.20884561412468816
equator,0.15200000000000002,0,Naïve,0.31941500319206195
equator,0.15200000000000002,1,Naïve,0.2830197298631184
equator,0.15200000000000002,2,Naïve,0.29617189496738094
equator,0.201,0,Naïve,0.3788073617876964
equator,0.201,1,Naïve,0.37028596918142764
equator,0.201,2,Naïve,0.3825519012139311
equator,0.25,0,Naïve,0.4750268734024493
equator,0.25,1,Naïve,0.4567167494225059
equator,0.25,2,Naïve,0.45300716220515413
uniform,0.005,0,Oracle Denoised,0.010389700597840223
uniform,0.005,1,Oracle Denoised,0.010619147504912644
uniform,0.005,2,Oracle Denoised,0.011194161199073384
uniform,0.054,0,Oracle Denoised,0.1100608151369398
uniform,0.054,1,Oracle Denoised,0.10329038272553441
uniform,0.054,2,Oracle Denoised,0.10649327422516691
uniform,0.10300000000000001,0,Oracle Denoised,0.20023129239971688
uniform,0.10300000000000001,1,Oracle Denoised,0.1912640040854227
uniform,0.10300000000000001,2,Oracle Denoised,0.20285933164851727
uniform,0.15200000000000002,0,Oracle Denoised,0.31818278380426335
uniform,0.15200000000000002,1,Oracle Denoised,0.31681692558478997
uniform,0.15200000000000002,2,Oracle Denoised,0.2961453861578865
